,sales_amount
1992-01-01,
1992-02-01,
1992-03-01,
1992-04-01,
1992-05-01,
1992-06-01,
1992-07-01,
1992-08-01,325.84398783931204
1992-09-01,325.93625088465956
1992-10-01,326.3933825767883
1992-11-01,327.53889637082784
1992-12-01,328.6770057281782
1993-01-01,329.7927728132747
1993-02-01,331.0358714377123
1993-03-01,332.33090106200143
1993-04-01,333.5700908513334
1993-05-01,334.50508043139297
1993-06-01,335.7697251274942
1993-07-01,337.52773157182605
1993-08-01,338.7653864136888
1993-09-01,339.91813752380847
1993-10-01,342.06231068242346
1993-11-01,344.19906516888307
1993-12-01,345.6291788662613
1994-01-01,347.3161249916427
1994-02-01,348.65006275301346
1994-03-01,350.16482507579076
1994-04-01,352.2641660182302
1994-05-01,354.07912419340687
1994-06-01,355.78662863946374
1994-07-01,357.4606034436937
1994-08-01,359.02080977865126
1994-09-01,360.12611226256183
1994-10-01,360.8067925430813
1994-11-01,361.1416247358891
1994-12-01,361.9524919483386
1995-01-01,363.35667698913255
1995-02-01,364.38955635368126
1995-03-01,365.2949604115632
1995-04-01,366.04460998094805
1995-05-01,366.3467716254994
1995-06-01,366.7629466306062
1995-07-01,367.1512991754109
1995-08-01,367.58818378208946
1995-09-01,369.1791193029421
1995-10-01,370.75247431524474
1995-11-01,371.96802212630143
1995-12-01,373.6156171755364
1996-01-01,374.4206845516466
1996-02-01,375.1268067838064
1996-03-01,376.2854198105438
1996-04-01,376.8375249319089
1996-05-01,377.90917848864365
1996-06-01,379.1793684669643
1996-07-01,379.6689752419649
1996-08-01,380.5287045598698
1996-09-01,381.1487098427857
1996-10-01,381.6072858087025
1996-11-01,382.3381986173655
1996-12-01,382.6362082176824
1997-01-01,383.0591383351922
1997-02-01,383.98013907829613
1997-03-01,384.8019044330838
1997-04-01,385.6473978480468
1997-05-01,386.57016276130514
1997-06-01,386.88813469154104
1997-07-01,387.50780606810986
1997-08-01,388.38891092985887
1997-09-01,388.87100612309973
1997-10-01,389.1972359099657
1997-11-01,390.0996649243631
1997-12-01,391.36259713735194
1998-01-01,392.7670846287639
1998-02-01,394.10160511009667
1998-03-01,394.5973077089003
1998-04-01,395.0491278506483
1998-05-01,395.96310551493144
1998-06-01,397.1626296296513
1998-07-01,398.74359206666804
1998-08-01,400.16014690122165
1998-09-01,401.6056234507731
1998-10-01,404.00213776028494
1998-11-01,406.19261700614504
1998-12-01,407.8420642106339
1999-01-01,409.6139700204317
1999-02-01,411.6057958148764
1999-03-01,414.14671644562605
1999-04-01,416.8021603060855
1999-05-01,418.5537365548977
1999-06-01,420.29305952271636
1999-07-01,423.0203535550055
1999-08-01,425.3872376152728
1999-09-01,427.81258980947155
1999-10-01,430.48216297354736
1999-11-01,431.9528845701917
1999-12-01,433.26418916785235
2000-01-01,434.88733368515113
2000-02-01,435.496911765539
2000-03-01,436.07229276047957
2000-04-01,437.088897884175
2000-05-01,437.736508415246
2000-06-01,438.23842321681184
2000-07-01,437.8130295351647
2000-08-01,437.53950817645466
2000-09-01,437.1099655179204
2000-10-01,435.7494607620814
2000-11-01,435.35302307937116
2000-12-01,435.65405628489015
2001-01-01,435.5834371871812
2001-02-01,435.4065398768871
2001-03-01,435.5753026311196
2001-04-01,434.7421898510587
2001-05-01,434.821365124591
2001-06-01,436.23489534039095
2001-07-01,436.5785831015701
2001-08-01,436.63493986474145
2001-09-01,436.82018233745885
2001-10-01,436.9483253694143
2001-11-01,437.26097845956656
2001-12-01,437.5348933187222
2002-01-01,437.32244111066046
2002-02-01,437.94549461569727
2002-03-01,439.22071968659475
2002-04-01,440.1400937766921
2002-05-01,439.8583461727782
2002-06-01,438.8287081335472
2002-07-01,438.7294340701332
2002-08-01,439.29119536990504
2002-09-01,439.5397439513688
2002-10-01,439.3911949101968
2002-11-01,439.57423505320384
2002-12-01,440.1045020878555
2003-01-01,440.8242773724428
2003-02-01,441.70686146999714
2003-03-01,442.2826098691956
2003-04-01,443.26915291685486
2003-05-01,444.7460560682965
2003-06-01,445.57190521921325
2003-07-01,446.6720352065697
2003-08-01,447.91041655088884
2003-09-01,449.3922075120657
2003-10-01,451.76087129919557
2003-11-01,453.8538771076912
2003-12-01,455.1216384862032
2004-01-01,456.2220272526713
2004-02-01,457.3688126684609
2004-03-01,457.96923238129375
2004-04-01,458.8048960267166
2004-05-01,459.857630226619
2004-06-01,460.9763281353935
2004-07-01,462.81974463460466
2004-08-01,464.09980557629274
2004-09-01,464.58255464716297
2004-10-01,465.43920384923945
2004-11-01,466.57334012263254
2004-12-01,467.5320205857695
2005-01-01,469.2843541179644
2005-02-01,471.450185796439
2005-03-01,473.3551190677034
2005-04-01,474.67720219048726
2005-05-01,475.07612230043674
2005-06-01,475.70312211603925
2005-07-01,476.45952406780304
2005-08-01,477.49687129957215
2005-09-01,478.7340137361013
2005-10-01,479.79280028837104
2005-11-01,480.6040445363452
2005-12-01,481.6879434824408
2006-01-01,482.56053391255057
2006-02-01,482.32472149436694
2006-03-01,482.39401011622033
2006-04-01,482.9785024512055
2006-05-01,483.6527037692165
2006-06-01,484.38709101865174
2006-07-01,484.7208536751708
2006-08-01,484.9254231679622
2006-09-01,485.1737010475771
2006-10-01,485.2631328790884
2006-11-01,485.13362334519445
2006-12-01,485.3717872597224
2007-01-01,485.6834151970012
2007-02-01,485.609805088141
2007-03-01,485.8502851884263
2007-04-01,485.92164870880623
2007-05-01,486.1842314184181
2007-06-01,486.87143686135107
2007-07-01,486.6509735705173
2007-08-01,486.1301947788828
2007-09-01,486.46834773579417
2007-10-01,485.9513655620642
2007-11-01,484.8637200920979
2007-12-01,484.04653317975124
2008-01-01,482.56280586917285
2008-02-01,481.2254085042962
2008-03-01,479.3046863413182
2008-04-01,476.71834823294773
2008-05-01,473.7297173245681
2008-06-01,469.12247888635346
2008-07-01,463.93634842772883
2008-08-01,459.5170432617898
2008-09-01,454.9431318100525
2008-10-01,449.80268195512326
2008-11-01,445.0585786616341
2008-12-01,440.12453532339845
2009-01-01,435.65186430888866
2009-02-01,432.2352601739559
2009-03-01,429.216898208041
2009-04-01,426.65466682950716
2009-05-01,424.827259487207
2009-06-01,424.15814182781037
2009-07-01,424.4689932743829
2009-08-01,424.72080644983214
2009-09-01,424.91120445354125
2009-10-01,426.65438218024434
2009-11-01,429.1546016582976
2009-12-01,430.87530528574234
2010-01-01,432.0883223175086
2010-02-01,433.11180957627266
2010-03-01,433.8146553051523
2010-04-01,435.00287839342593
2010-05-01,436.59312203656054
2010-06-01,438.45878108558736
2010-07-01,440.76292915377365
2010-08-01,442.69308754088144
2010-09-01,444.5918742061554
2010-10-01,446.5116258283598
2010-11-01,448.07313655734936
2010-12-01,449.4926777151713
2011-01-01,451.1310684097592
2011-02-01,452.54659962366014
2011-03-01,454.04305649492215
2011-04-01,455.8319093879822
2011-05-01,457.23435753376975
2011-06-01,458.4974154504265
2011-07-01,459.71892411822876
2011-08-01,460.72394021758475
2011-09-01,462.42671289307725
2011-10-01,464.4921857422117
2011-11-01,465.4303518586897
2011-12-01,466.5646010581613
2012-01-01,467.7686539371607
2012-02-01,468.2673175575089
2012-03-01,469.373714336661
2012-04-01,470.3205112593381
2012-05-01,471.0796116057083
2012-06-01,472.29310693539855
2012-07-01,472.918866109879
2012-08-01,473.6567105945088
2012-09-01,474.0485353455633
2012-10-01,473.74412803145367
2012-11-01,474.28072164004885
